term_id,term
0,sannio
1,vigevano
2,sulmona
3,fontanafredda
4,ravenna
5,lainat
6,passeier
7,codigoro
8,pizzo
9,agnello
10,ticino
11,mazzorbo
12,corrubbio
13,vito
14,filiorum
15,forlì
16,isonzo
17,casol
18,riva
19,gavi
20,conversano
21,pont
22,vello
23,vecchia
24,rottofreno
25,vallo
26,foiana
27,montepulciano
28,montemerano
29,marlengo
30,volterra
31,civitavecchia
32,cavaglià
33,altamura
34,lucania
35,cologn
36,olbia
37,chieti
38,palau
39,bacoli
40,albavilla
41,brenzon
42,castelfranco
43,agostino
44,enza
45,novara
46,aversa
47,calabro
48,trevinano
49,etnea
50,mandello
51,noto
52,udin
53,roero
54,trofarello
55,marmi
56,arco
57,monza
58,altomont
59,carpi
60,puglia
61,canal
62,strada
63,zafferana
64,eboli
65,pellio
66,angelo
67,strongoli
68,cavallino
69,della
70,campo
71,manfredonia
72,orvieto
73,baldichieri
74,fiumicino
75,gulfi
76,scorzè
77,portoscuso
78,baganza
79,santo
80,torgiano
81,macchi
82,agata
83,brentonico
84,armerina
85,pinerolo
86,bartolomeo
87,montrigiasco
88,polesin
89,fara
90,abruzzi
91,gsi
92,piero
93,panzano
94,ravall
95,arzachena
96,sull
97,ariccia
98,kien
99,quarto
100,rotonda
101,marostica
102,postal
103,bolognes
104,stabia
105,spilimbergo
106,tigliol
107,vicentino
108,pozzolo
109,treia
110,ferrara
111,termini
112,calabria
113,cort
114,licata
115,traversella
116,argon
117,equens
118,due
119,roccaraso
120,milano
121,pozzolengo
122,val
123,castiglion
124,panical
125,rognano
126,savelletri
127,induno
128,revigliasco
129,galliat
130,di
131,varzi
132,sernaglia
133,porto
134,montefiorino
135,patenora
136,nocera
137,vino
138,morimondo
139,venaria
140,gragnano
141,trequanda
142,marn
143,zeno
144,chietino
145,ongina
146,cell
147,superior
148,altino
149,lavagna
150,giarr
151,arezzo
152,treviso
153,golfo
154,christoph
155,passignano
156,ladispoli
157,cividal
158,triest
159,apricena
160,calamandrana
161,omobono
162,stresa
163,berardenga
164,verones
165,castagnito
166,rangon
167,céres
168,mira
169,cador
170,savio
171,parma
172,castelmezzano
173,caramanico
174,syracus
