term_id,term
0,colombian
1,abruzzo
2,venetian
3,tradit
4,tyrolean
5,sum
6,tuscan
7,south
8,apulian
9,mantuan
10,cantones
11,small
12,american
13,italian
14,emilian
15,umbrian
16,cuisin
17,dim
18,vegan
19,friulian
20,home
21,vegetarian
22,indian
23,milanes
24,farm
25,region
26,meat
27,sicilian
28,asian
29,eat
30,fusion
31,season
32,innov
33,share
34,modern
35,calabrian
36,pizza
37,intern
38,valtellina
39,classic
40,basilicata
41,chines
42,grill
43,ligurian
44,romagna
45,european
46,creativ
47,alpin
48,fish
49,aosta
50,influenc
51,valley
52,sushi
53,peruvian
54,sichuan
55,roman
56,korean
57,steakhous
58,piedmontes
59,cook
60,chip
61,japanes
62,seafood
63,lombardian
64,indonesian
65,countri
66,french
67,tabl
68,campanian
69,contemporari
70,mediterranean
71,lazio
72,march
73,organ
74,argentinian
75,sardinian
